customer_id,name,age,gender,occupation,occupation_type,monthly_income,open_account_date,lifecycle_stage,marriage_status,city_level,branch_name,id,total_assets,deposit_balance,financial_balance,fund_balance,insurance_balance,asset_level,deposit_flag,financial_flag,fund_flag,insurance_flag,product_count,financial_repurchase_count,credit_card_monthly_expense,investment_monthly_count,app_login_count,app_financial_view_time,app_product_compare_count,last_app_login_time,last_contact_time,contact_result,marketing_cool_period,stat_month,cluster_label,cluster_name,pca1,pca2
316d72c0795f4fa9a61aeb8804c21b8f,王丹,49,男,律师,专业人士,49458.85,2019-08-22,新客户,已婚,一线城市,招商银行上海分行外滩支行,d7ff146ce3bd4dda85c925163509098f,152233.02,55429.79,40672.13,44405.71,11725.39,50-80万,1,0,1,0,2,0,15838.27,1,3,60,1,2025-04-08 21:18:04,2025-04-08 21:18:04,成功,2025-04-22,2025-04,4,客户群5,-0.9895791287036518,-0.4799308258727675
5002bbdfa1f24509a12c4ff16a2e50ca,李旭,43,男,教师,事业单位,15465.95,2024-10-01,新客户,已婚,一线城市,招商银行深圳分行深南中路支行,ad99b7a5760645f8a28f9ea3d03b164a,78455.28,29046.28,20541.89,22135.92,6731.19,50万以下,1,0,0,0,1,0,5971.42,0,4,60,1,2025-04-11 11:20:54,2025-04-11 11:20:54,考虑中,2025-04-27,2025-04,4,客户群5,-2.2835357935002367,-0.8190631742465656
da788b7870954f93855e52a193e133d1,宋超,51,女,企业CFO,企业高管,64198.59,2015-12-25,成熟客户,未婚,一线城市,招商银行广州分行珠江新城支行,0b459c17f8414144a61d735ac70088ab,2530173.6,1111295.35,549679.6,328199.63,540999.01,100万+,1,0,0,0,1,0,18712.89,0,5,326,2,2025-04-19 00:01:32,2025-04-19 00:01:32,成功,2025-04-30,2025-04,0,高资产客户,5.484302309512389,-2.120274473077112
39d84dabba1f442691128dcd89826f92,刘璐,60,女,行政人员,传统行业,12723.81,2015-12-04,忠诚客户,未婚,一线城市,招商银行北京分行中关村支行,bb5b5202935a4af2ab4663e13b05d607,388051.82,179122.26,91815.74,58286.09,58827.74,80-100万,1,0,0,0,1,0,8453.01,0,3,63,1,2025-04-29 10:29:41,2025-04-29 10:29:41,成功,2025-04-10,2025-04,1,客户群2,-1.346618290822749,-1.7100130015224682
a6107977247d4ce7b034fd6d0b64910d,丁婷婷,42,女,行政人员,传统行业,18263.34,2019-03-23,成长客户,已婚,一线城市,招商银行深圳分行深南中路支行,3243045d8d9a48f99f374b64a701ba27,230977.42,73514.99,54500.62,50464.2,52497.61,50-80万,1,0,1,1,3,0,11845.99,1,2,60,1,2025-04-21 06:48:22,2025-04-21 06:48:22,成功,2025-04-04,2025-04,3,客户群4,-1.2149747409042562,-0.3563024067622331
ead3fdfcfc8949b39b91c647f3146c29,宋强,42,女,制造业职工,传统行业,17384.69,2018-03-11,成熟客户,已婚,二线城市,招商银行青岛分行香港中路支行,f1f92fabc8f74668bbcc2b7540e8fd07,133339.24,43380.28,38527.91,31748.79,19682.25,50万以下,1,0,0,0,1,0,4966.75,0,4,181,1,2025-04-25 21:08:06,,,2025-04-13,2025-04,3,客户群4,-2.057193021011111,-0.7289384391660513
af15fb6bb91f428a9f20445b9989f71f,杨建军,60,男,医生,专业人士,46450.53,2019-02-19,忠诚客户,已婚,一线城市,招商银行深圳分行科技园支行,812bb750f78a4f3d8d0e6354803ac123,794609.0,370285.01,181884.9,90240.69,152198.39,100万+,1,0,0,1,2,0,21992.34,0,4,183,3,2025-04-21 00:55:41,2025-04-21 00:55:41,拒绝,2025-05-01,2025-04,4,客户群5,0.7670599310635653,-1.4808092427418647
2cfbe3635b9d44899bef95972e4c7b8c,李春梅,52,女,医院职工,事业单位,21335.26,2017-02-12,忠诚客户,已婚,二线城市,招商银行重庆分行解放碑支行,8d66a8d019944ef19cc582d53e5b18d1,408403.59,168534.45,121031.01,57285.63,61552.5,80-100万,1,0,0,0,1,0,4668.75,0,3,128,1,2025-04-16 16:36:56,2025-04-16 16:36:56,成功,2025-04-10,2025-04,3,客户群4,-1.2839530783913387,-1.5198133403523917
186a7b50252844c5a35eeecaab0a8f89,毛燕,40,男,UI设计师,互联网从业者,34049.35,2016-03-18,成长客户,已婚,二线城市,招商银行杭州分行武林支行,8d6ab5a1d0c8453a87dfb4bc9d35ad95,469205.37,171763.51,110829.16,124834.97,61777.73,80-100万,1,0,0,0,1,0,8642.72,0,3,325,3,2025-04-15 01:49:38,2025-04-15 01:49:38,成功,2025-04-24,2025-04,4,客户群5,-0.8598683541808783,-0.7464454645785112
8d3a7ca4d9394e8fb21ed3a2a4b90939,何淑珍,50,男,制造业老板,私营业主,70571.12,2016-10-24,价值客户,已婚,一线城市,招商银行上海分行外滩支行,ca5d11f1d20c41c9b7e3f9503324585f,1532730.37,725185.81,401449.39,177894.45,228200.72,100万+,1,0,1,0,2,0,19585.18,1,4,250,2,2025-04-21 11:05:15,,,2025-04-27,2025-04,5,客户群6,3.100824709761731,-1.1270002483764818
